material_id,formula,formation_energy,e_above_hull,comp_group,elements_set,elements,fractions,element_indices
mp-1174864,Li7Mn2(CoO4)3,-1.895769355799808,0.067116894583333,Co:0.05|Li:0.50|Mn:0.15|O:0.30,"{'O', 'Co', 'Mn', 'Li'}","Co,Li,Mn,O","0.07142857,0.50000000,0.14285714,0.28571429","24,54,61,73"
mp-1177669,Li3MnV(PO4)3,-2.645517371592979,0.024166072187497,Li:0.30|Mn:0.10|O:0.40|P:0.10|V:0.10,"{'O', 'V', 'P', 'Li', 'Mn'}","Li,Mn,O,P,V","0.30000000,0.10000000,0.40000000,0.10000000,0.10000000","54,61,73,76,112"
mp-754381,Zr3N4,-1.809822919285713,0.042560274642859,N:0.55|Zr:0.45,"{'N', 'Zr'}","N,Zr","0.57142857,0.42857143","64,118"
mp-555268,K2Sm2IrO7,-2.484167529541666,0.0,Ir:0.10|K:0.15|O:0.60|Sm:0.15,"{'O', 'Ir', 'K', 'Sm'}","Ir,K,O,Sm","0.08333333,0.16666667,0.58333333,0.16666667","50,51,73,99"
mp-1226496,CrFeRhS4,-0.7727458249999991,0.076055066309521,Cr:0.15|Fe:0.15|Rh:0.15|S:0.55,"{'Fe', 'Rh', 'Cr', 'S'}","Cr,Fe,Rh,S","0.14285714,0.14285714,0.14285714,0.57142857","25,35,90,93"
mp-1235293,LiTi3O4,-2.877109646666667,0.066546966874998,Li:0.10|O:0.50|Ti:0.40,"{'O', 'Ti', 'Li'}","Li,O,Ti","0.12500000,0.50000000,0.37500000","54,73,107"
mp-2712530,Na6Mg3TiSi2(SO6)4,-2.501461233581897,0.096520060437503,Mg:0.15|Na:0.30|O:0.30|S:0.05|Si:0.10|Ti:0.05,"{'Na', 'O', 'Ti', 'Si', 'Mg', 'S'}","Mg,Na,O,S,Si,Ti","0.15789474,0.31578947,0.31578947,0.05263158,0.10526316,0.05263158","60,65,73,93,98,107"
mp-1080045,SrHBrO,-2.3211875803125,0.0,Br:0.25|H:0.25|O:0.25|Sr:0.25,"{'H', 'O', 'Sr', 'Br'}","Br,H,O,Sr","0.25000000,0.25000000,0.25000000,0.25000000","15,42,73,101"
mp-559906,U3O8,-3.7066054772727313,0.003075063181819,O:0.75|U:0.25,"{'U', 'O'}","O,U","0.72727273,0.27272727","73,111"
mp-1112156,Cs2YTlI6,-1.5453325372643691,0.003941125,Cs:0.20|I:0.60|Tl:0.10|Y:0.10,"{'Cs', 'I', 'Y', 'Tl'}","Cs,I,Tl,Y","0.20000000,0.60000000,0.10000000,0.10000000","26,48,108,115"
mp-1177457,Li4Mn2Fe3Sn(PO4)6,-2.434291942051312,0.081630333968753,Fe:0.20|Li:0.25|Mn:0.15|O:0.25|P:0.05|Sn:0.05,"{'O', 'Fe', 'P', 'Li', 'Mn', 'Sn'}","Fe,Li,Mn,O,P,Sn","0.20000000,0.26666667,0.13333333,0.26666667,0.06666667,0.06666667","35,54,61,73,76,100"
mp-778019,Ag2H16O9,-1.095874617,0.07697625,Ag:0.05|H:0.60|O:0.35,"{'Ag', 'O', 'H'}","Ag,H,O","0.07407407,0.59259259,0.33333333","2,42,73"
mp-2712919,Na3Ta2Al2SiP5O24,-2.9795697709554663,0.028374076981977,Al:0.05|Na:0.10|O:0.65|P:0.15|Si:0.05|Ta:0.05,"{'Na', 'O', 'Si', 'Al', 'P', 'Ta'}","Al,Na,O,P,Si,Ta","0.05405405,0.08108108,0.64864865,0.13513514,0.02702703,0.05405405","3,65,73,76,98,102"
mp-1219422,Sc7As3,-0.9860226027499972,0.0,As:0.30|Sc:0.70,"{'Sc', 'As'}","As,Sc","0.30000000,0.70000000","6,95"
mp-644409,LiAlPHO5,-2.735646848802909,0.005211936543209,Al:0.10|H:0.10|Li:0.10|O:0.55|P:0.10,"{'O', 'Al', 'P', 'Li', 'H'}","Al,H,Li,O,P","0.11111111,0.11111111,0.11111111,0.55555556,0.11111111","3,42,54,73,76"
mp-772664,Na2CoAsCO7,-1.8061446566882184,0.0,As:0.10|C:0.10|Co:0.10|Na:0.15|O:0.60,"{'Na', 'O', 'C', 'As', 'Co'}","As,C,Co,Na,O","0.08333333,0.08333333,0.08333333,0.16666667,0.58333333","6,16,24,65,73"
mp-1093995,ZnAg2SnSe4,-0.5823426184635411,0.010297994687505,Ag:0.25|Se:0.50|Sn:0.10|Zn:0.10,"{'Ag', 'Se', 'Sn', 'Zn'}","Ag,Se,Sn,Zn","0.25000000,0.50000000,0.12500000,0.12500000","2,96,100,117"
mp-1210497,Sm8Ni18P11,-0.951268350839768,0.0,Ni:0.50|P:0.30|Sm:0.20,"{'Ni', 'Sm', 'P'}","Ni,P,Sm","0.48648649,0.29729730,0.21621622","70,76,99"
mp-861929,Pu2BiAu,-0.605360265625009,0.046695987187504,Au:0.25|Bi:0.25|Pu:0.50,"{'Au', 'Pu', 'Bi'}","Au,Bi,Pu","0.25000000,0.25000000,0.50000000","8,13,84"
mp-561252,Na5Cr3F14,-3.057455153949842,0.007018779318181,Cr:0.15|F:0.65|Na:0.25,"{'Na', 'F', 'Cr'}","Cr,F,Na","0.13636364,0.63636364,0.22727273","25,34,65"
mp-28344,Zr6CI14,-1.248055231666668,0.0,C:0.05|I:0.65|Zr:0.30,"{'I', 'Zr', 'C'}","C,I,Zr","0.04761905,0.66666667,0.28571429","16,48,118"
mp-1078792,U(GePt)2,-0.6933453434999991,0.023398036999999,Ge:0.35|Pt:0.35|U:0.35,"{'U', 'Pt', 'Ge'}","Ge,Pt,U","0.33333333,0.33333333,0.33333333","41,83,111"
mp-18385,Lu2Si2O7,-3.704521043939393,0.019656807727265,Lu:0.20|O:0.65|Si:0.20,"{'Lu', 'O', 'Si'}","Lu,O,Si","0.18181818,0.63636364,0.18181818","56,73,98"
mp-866651,KSiBiS4,-0.91117355607143,0.0,Bi:0.15|K:0.15|S:0.55|Si:0.15,"{'S', 'K', 'Si', 'Bi'}","Bi,K,S,Si","0.14285714,0.14285714,0.57142857,0.14285714","13,51,93,98"
